,Marque,Taille,État,Couleur,Emplacement,Modepaiement,Nombre de vus,interet,ajout,genre,prix
0,ALEXANDER MCQUEEN ,38,NEUF AVEC ÉTIQUETTE,"ROUGE, BLANC","GIGNAC-LA-NERTHE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 42 MINUTES,Femmes,"350,00 €"
1,MELLOW YELLOW ,38,NEUF SANS ÉTIQUETTE,"DORÉ, BORDEAUX","PLÉBOULLE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 7 MINUTES,Femmes,"51,00 €"
2,NIKE ,38.5,NEUF AVEC ÉTIQUETTE,ROSE,"AVIGNON, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 7 MINUTES,Femmes,"36,00 €"
3,NIKE ,39,NEUF AVEC ÉTIQUETTE,"NOIR, BLANC","RUEIL-MALMAISON, FRANCE","CARTE BANCAIRE, PAYPAL",7,1 UTILISATEUR,IL Y A 10 HEURES,Femmes,"79,00 €"
4,THE KOOPLES ,37,TRÈS BON ÉTAT,NOIR,"PARIS, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A UNE HEURE,Femmes,"65,00 €"
5,JORDAN ,39,NEUF AVEC ÉTIQUETTE,BORDEAUX,"CHAMPS-SUR-MARNE, FRANCE","CARTE BANCAIRE, PAYPAL",1,7 UTILISATEURS,IL Y A UN JOUR,Femmes,"195,00 €"
6,H&M ,40,NEUF SANS ÉTIQUETTE,NOIR,"BREDA, NEDERLAND","CARTE BANCAIRE, PAYPAL",15,7 UTILISATEURS,IL Y A 2 JOURS,Femmes,"10,00 €"
7,NIKE ,43,BON ÉTAT,NOIR,"VINCENNES, FRANCE","CARTE BANCAIRE, PAYPAL",1,7 UTILISATEURS,IL Y A 15 MINUTES,Hommes,"45,00 €"
8,FELMINI ,37,TRÈS BON ÉTAT,"ROSE, ROSE","MADRID, ESPAÑA",NA,NA,7 UTILISATEURS,IL Y A 2 MOIS,Femmes,"13,00 €"
9,ADIDAS ,S / 36 / 8,NEUF SANS ÉTIQUETTE,"NOIR, BLANC","MADRID, ESPAÑA","CARTE BANCAIRE, PAYPAL",216,22 UTILISATEURS,IL Y A 4 MOIS,Femmes,"14,00 €"
10,HANDMADE ,NA,NA,NA,NA,NA,NA,22 UTILISATEURS,IL Y A 5 MOIS,Femmes,"13,00 €"
11,ADIDAS ,M / 38 / 10,NEUF SANS ÉTIQUETTE,"NOIR, GRIS","MADRID, ESPAÑA","CARTE BANCAIRE, PAYPAL",142,19 UTILISATEURS,IL Y A 2 MOIS,Femmes,"25,00 €"
12,BERSHKA ,37,BON ÉTAT,"GRIS, ARGENTÉ","MADRID, ESPAÑA","CARTE BANCAIRE, PAYPAL",98,10 UTILISATEURS,IL Y A 7 MOIS,Femmes,"10,00 €"
13,NIKE ,43,BON ÉTAT,BLANC,"VINCENNES, FRANCE","CARTE BANCAIRE, PAYPAL",1,10 UTILISATEURS,IL Y A 18 MINUTES,Hommes,"30,00 €"
14,NIKE ,43,BON ÉTAT,BLANC,"VINCENNES, FRANCE","CARTE BANCAIRE, PAYPAL",1,10 UTILISATEURS,IL Y A 21 MINUTES,Hommes,"40,00 €"
15,PRIMA MODA ,39,NEUF SANS ÉTIQUETTE,BORDEAUX,"ÉZANVILLE, FRANCE","CARTE BANCAIRE, PAYPAL",2,10 UTILISATEURS,IL Y A 5 HEURES,Femmes,"30,00 €"
16,NEW BALANCE ,38,TRÈS BON ÉTAT,"NOIR, ROSE","MADRID, ESPAÑA","CARTE BANCAIRE, PAYPAL",1,10 UTILISATEURS,IL Y A 17 MINUTES,Femmes,"38,00 €"
17,CONVERSE ,39,NEUF AVEC ÉTIQUETTE,MULTICOLORE,"VELEZ MALAGA, ESPAÑA","CARTE BANCAIRE, PAYPAL",1,10 UTILISATEURS,IL Y A 11 MINUTES,Femmes,"68,00 €"
18,NIKE ,36.5,NEUF AVEC ÉTIQUETTE,BLANC,"SAINT-POL-SUR-MER, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A UNE HEURE,Femmes,"90,00 €"
19,JORDAN ,38.5,NEUF AVEC ÉTIQUETTE,"BEIGE , VIOLET",NEDERLAND,"CARTE BANCAIRE, PAYPAL",956,1 UTILISATEUR,IL Y A 7 JOURS,Femmes,"99,00 €"
20,NIKE ,38,NEUF AVEC ÉTIQUETTE,"VIOLET, BLANC","GRENOBLE, FRANCE","CARTE BANCAIRE, PAYPAL",439,8 UTILISATEURS,IL Y A 7 JOURS,Femmes,"90,00 €"
21,OZWEEGO ,41,TRÈS BON ÉTAT,BLANC,"STRASBOURG, FRANCE","CARTE BANCAIRE, PAYPAL",5,8 UTILISATEURS,IL Y A 3 JOURS,Hommes,"80,00 €"
22,DR. MARTENS ,39,NEUF AVEC ÉTIQUETTE,BORDEAUX,"PARIS, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A UNE HEURE,Femmes,"400,00 €"
23,DC SHOES ,38,NEUF AVEC ÉTIQUETTE,NOIR,"ESQUERDES, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A UNE HEURE,Femmes,"17,00 €"
24,NEW BALANCE ,37,NEUF AVEC ÉTIQUETTE,GRIS,ESPAÑA,"CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 18 MINUTES,Femmes,"60,00 €"
25,SUPERSTAR ,41,NEUF AVEC ÉTIQUETTE,"NOIR, BLANC","PARIS, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 14 MINUTES,Hommes,"75,00 €"
26,JUSTFAB ,40.5,NEUF SANS ÉTIQUETTE,NOIR,FRANCE,"CARTE BANCAIRE, PAYPAL",175,4 UTILISATEURS,IL Y A 8 JOURS,Femmes,"8,00 €"
27,VERTBAUDET ,23,TRÈS BON ÉTAT,"GRIS, ROSE","VERNOUILLET, FRANCE","CARTE BANCAIRE, PAYPAL",4,4 UTILISATEURS,IL Y A UN JOUR,Enfants,"8,50 €"
28,THE KOOPLES ,38,NEUF AVEC ÉTIQUETTE,"NOIR, ARGENTÉ","ISSY-LES-MOULINEAUX, FRANCE","CARTE BANCAIRE, PAYPAL",150,4 UTILISATEURS,IL Y A UN JOUR,Femmes,"350,00 €"
29,CALVIN KLEIN ,43,NEUF AVEC ÉTIQUETTE,"NOIR, BLANC","ROCHEFORT, FRANCE","CARTE BANCAIRE, PAYPAL",70,9 UTILISATEURS,IL Y A 5 JOURS,Hommes,"109,00 €"
30,NIKE ,42.5,NEUF AVEC ÉTIQUETTE,JAUNE,"CARLING, FRANCE","CARTE BANCAIRE, PAYPAL",263,5 UTILISATEURS,IL Y A 11 JOURS,Hommes,"120,00 €"
31,JORDAN ,38.5,TRÈS BON ÉTAT,ROUGE,"CLAMART, FRANCE","CARTE BANCAIRE, PAYPAL",91,2 UTILISATEURS,IL Y A 5 JOURS,Femmes,"130,00 €"
32,NOE ,39,TRÈS BON ÉTAT,MARRON,"CHÂTEAUROUX, FRANCE","CARTE BANCAIRE, PAYPAL",87,7 UTILISATEURS,IL Y A 8 JOURS,Femmes,"39,00 €"
33,YEEZY ,41,NEUF AVEC ÉTIQUETTE,"GRIS, BEIGE",FRANCE,"CARTE BANCAIRE, PAYPAL",148,7 UTILISATEURS,IL Y A 6 JOURS,Hommes,"280,00 €"
34,BOUTIQUE INDÉPENDANTE ,37,NEUF SANS ÉTIQUETTE,NOIR,"TISSELT, BELGIQUE / BELGIË","CARTE BANCAIRE, PAYPAL",292,1 UTILISATEUR,IL Y A 6 JOURS,Femmes,"28,00 €"
35,NEW BALANCE ,43,TRÈS BON ÉTAT,"GRIS, BLEU","PÉRIGUEUX, FRANCE","CARTE BANCAIRE, PAYPAL",157,6 UTILISATEURS,IL Y A 6 JOURS,Hommes,"30,00 €"
36,CONVERSE ,38,TRÈS BON ÉTAT,NOIR,"TOULOUSE, FRANCE","CARTE BANCAIRE, PAYPAL",582,5 UTILISATEURS,IL Y A 6 JOURS,Femmes,"35,00 €"
37,NIKKIE ,S / 36 / 8,TRÈS BON ÉTAT,"BLEU, BLANC","ROERMOND, NEDERLAND","CARTE BANCAIRE, PAYPAL",1,5 UTILISATEURS,IL Y A UN JOUR,Femmes,"17,49 €"
38,RALPH LAUREN ,S / 36 / 8,BON ÉTAT,BLANC,"ROERMOND, NEDERLAND","CARTE BANCAIRE, PAYPAL",75,3 UTILISATEURS,IL Y A 2 MOIS,Femmes,"12,50 €"
39,JOSEPH RIBKOFF ,L / 40 / 12,NEUF SANS ÉTIQUETTE,NOIR,"ROERMOND, NEDERLAND","CARTE BANCAIRE, PAYPAL",70,2 UTILISATEURS,IL Y A 2 MOIS,Femmes,"15,00 €"
40,PULL & BEAR ,M / 38 / 10,TRÈS BON ÉTAT,"MULTICOLORE, MARINE","ROERMOND, NEDERLAND","CARTE BANCAIRE, PAYPAL",46,1 UTILISATEUR,IL Y A UN JOUR,Femmes,"7,50 €"
41,ONLY ,M / 38 / 10,NEUF SANS ÉTIQUETTE,BLEU,"ROERMOND, NEDERLAND","CARTE BANCAIRE, PAYPAL",36,1 UTILISATEUR,IL Y A UN JOUR,Femmes,"5,00 €"
42,JORDAN ,43,NEUF AVEC ÉTIQUETTE,MULTICOLORE,"METZ, FRANCE","CARTE BANCAIRE, PAYPAL",381,4 UTILISATEURS,IL Y A 6 JOURS,Hommes,"300,00 €"
43,NIKE ,38,NEUF AVEC ÉTIQUETTE,"NOIR, ROUGE","LYON, FRANCE","CARTE BANCAIRE, PAYPAL",20,4 UTILISATEURS,IL Y A 8 JOURS,Hommes,"89,00 €"
44,CONVERSE ,36.5,NEUF AVEC ÉTIQUETTE,ROSE,"TARRAGONA, ESPAÑA","CARTE BANCAIRE, PAYPAL",213,4 UTILISATEURS,IL Y A 6 JOURS,Femmes,"40,00 €"
45,PIKOLINOS ,36,TRÈS BON ÉTAT,BORDEAUX,"PERRIERS-EN-BEAUFICEL, FRANCE","CARTE BANCAIRE, PAYPAL",109,5 UTILISATEURS,IL Y A 5 JOURS,Femmes,"45,00 €"
46,BEXLEY ,40,NEUF SANS ÉTIQUETTE,NOIR,"PARIS, FRANCE","CARTE BANCAIRE, PAYPAL",160,2 UTILISATEURS,IL Y A 6 JOURS,Hommes,"95,00 €"
47,REEBOK ,36,NEUF AVEC ÉTIQUETTE,BLANC,"TOMARES, ESPAÑA","CARTE BANCAIRE, PAYPAL",40,3 UTILISATEURS,IL Y A 6 JOURS,Enfants,"25,00 €"
48,TOMMY HILFIGER ,39,TRÈS BON ÉTAT,NOIR,"AMSTERDAM, NEDERLAND","CARTE BANCAIRE, PAYPAL",190,1 UTILISATEUR,IL Y A 9 JOURS,Femmes,"30,00 €"
49,NIKE ,40,NEUF AVEC ÉTIQUETTE,"NOIR, BLANC","LYON, FRANCE","CARTE BANCAIRE, PAYPAL",116,13 UTILISATEURS,IL Y A 3 JOURS,Hommes,"65,00 €"
50,NIKE ,43,NEUF AVEC ÉTIQUETTE,"BLANC, MENTHE","LYON, FRANCE","CARTE BANCAIRE, PAYPAL",67,7 UTILISATEURS,IL Y A 6 JOURS,Hommes,"68,00 €"
51,MICHAEL KORS ,39,NEUF AVEC ÉTIQUETTE,BLANC,"TOMARES, ESPAÑA","CARTE BANCAIRE, PAYPAL",277,8 UTILISATEURS,IL Y A 4 JOURS,Femmes,"159,00 €"
52,NIKE ,44,BON ÉTAT,"NOIR, ORANGE","AJACCIO, FRANCE","CARTE BANCAIRE, PAYPAL",87,4 UTILISATEURS,IL Y A 7 JOURS,Hommes,"50,00 €"
53,ALEXANDER MCQUEEN ,38,NEUF AVEC ÉTIQUETTE,"ROUGE, BLANC","GIGNAC-LA-NERTHE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 44 MINUTES,Femmes,"350,00 €"
54,DR. MARTENS ,39,TRÈS BON ÉTAT,"NOIR, BLANC","ALPHEN AAN DEN RIJN, NEDERLAND","CARTE BANCAIRE, PAYPAL",238,4 UTILISATEURS,IL Y A 6 JOURS,Femmes,"75,00 €"
55,LIDL ,44,NEUF AVEC ÉTIQUETTE,"JAUNE, BLEU",FRANCE,"CARTE BANCAIRE, PAYPAL",7,1 UTILISATEUR,IL Y A 8 HEURES,Hommes,"89,00 €"
56,LIDL ,43,NEUF AVEC ÉTIQUETTE,"NOIR, BLANC",FRANCE,"CARTE BANCAIRE, PAYPAL",24,1 UTILISATEUR,IL Y A UN JOUR,Hommes,"29,00 €"
57,MELLOW YELLOW ,38,NEUF SANS ÉTIQUETTE,"DORÉ, BORDEAUX","PLÉBOULLE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 10 MINUTES,Femmes,"51,00 €"
58,MICHAEL KORS ,39,NEUF AVEC ÉTIQUETTE,BLANC,"TOMARES, ESPAÑA","CARTE BANCAIRE, PAYPAL",277,8 UTILISATEURS,IL Y A 4 JOURS,Femmes,"159,00 €"
59,NIKE ,44,BON ÉTAT,"NOIR, ORANGE","AJACCIO, FRANCE","CARTE BANCAIRE, PAYPAL",87,4 UTILISATEURS,IL Y A 7 JOURS,Hommes,"50,00 €"
60,JORDAN ,40,NEUF AVEC ÉTIQUETTE,"BEIGE , CRÈME","ROTTERDAM, NEDERLAND","CARTE BANCAIRE, PAYPAL",379,13 UTILISATEURS,IL Y A 5 JOURS,Femmes,"300,00 €"
61,ALEXANDER MCQUEEN ,38,NEUF AVEC ÉTIQUETTE,"ROUGE, BLANC","GIGNAC-LA-NERTHE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A UNE HEURE,Femmes,"350,00 €"
62,DR. MARTENS ,39,TRÈS BON ÉTAT,"NOIR, BLANC","ALPHEN AAN DEN RIJN, NEDERLAND","CARTE BANCAIRE, PAYPAL",238,4 UTILISATEURS,IL Y A 6 JOURS,Femmes,"75,00 €"
63,LIDL ,44,NEUF AVEC ÉTIQUETTE,"JAUNE, BLEU",FRANCE,"CARTE BANCAIRE, PAYPAL",7,1 UTILISATEUR,IL Y A 8 HEURES,Hommes,"89,00 €"
64,LIDL ,43,NEUF AVEC ÉTIQUETTE,"NOIR, BLANC",FRANCE,"CARTE BANCAIRE, PAYPAL",24,1 UTILISATEUR,IL Y A UN JOUR,Hommes,"29,00 €"
65,MELLOW YELLOW ,38,NEUF SANS ÉTIQUETTE,"DORÉ, BORDEAUX","PLÉBOULLE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 10 MINUTES,Femmes,"51,00 €"
66,VINTAGE ,M / 38 / 10,TRÈS BON ÉTAT,BEIGE,"ITTENHEIM, FRANCE","CARTE BANCAIRE, PAYPAL",263,1 UTILISATEUR,IL Y A 5 MOIS,Femmes,"13,00 €"
67,CAMAIEU ,M / 38 / 10,TRÈS BON ÉTAT,"NOIR, GRIS","ITTENHEIM, FRANCE","CARTE BANCAIRE, PAYPAL",219,1 UTILISATEUR,IL Y A 7 MOIS,Femmes,"8,00 €"
68,JENNYFER ,L / 40 / 12,TRÈS BON ÉTAT,"NOIR, ARGENTÉ","ITTENHEIM, FRANCE","CARTE BANCAIRE, PAYPAL",104,2 UTILISATEURS,IL Y A 7 MOIS,Femmes,"4,00 €"
69,LEE COOPER ,S / 36 / 8,TRÈS BON ÉTAT,"GRIS, ORANGE","ITTENHEIM, FRANCE","CARTE BANCAIRE, PAYPAL",145,2 UTILISATEURS,IL Y A 7 MOIS,Femmes,"5,00 €"
70,FB SISTER ,L / 40 / 12,TRÈS BON ÉTAT,"GRIS, ARGENTÉ","ITTENHEIM, FRANCE","CARTE BANCAIRE, PAYPAL",75,2 UTILISATEURS,IL Y A 7 MOIS,Femmes,"4,00 €"
71,NIKE ,38.5,NEUF AVEC ÉTIQUETTE,ROSE,"AVIGNON, FRANCE","CARTE BANCAIRE, PAYPAL",1,2 UTILISATEURS,IL Y A 10 MINUTES,Femmes,"36,00 €"
72,NIKE ,39,NEUF AVEC ÉTIQUETTE,"NOIR, BLANC","RUEIL-MALMAISON, FRANCE","CARTE BANCAIRE, PAYPAL",7,2 UTILISATEURS,IL Y A 10 HEURES,Femmes,"79,00 €"
73,JÉRÔME DREYFUSS ,39,TRÈS BON ÉTAT,KAKI,"PARIS, FRANCE","CARTE BANCAIRE, PAYPAL",1,2 UTILISATEURS,IL Y A UNE HEURE,Femmes,"180,00 €"
74,THE KOOPLES ,37,TRÈS BON ÉTAT,NOIR,"PARIS, FRANCE","CARTE BANCAIRE, PAYPAL",1,2 UTILISATEURS,IL Y A UNE HEURE,Femmes,"65,00 €"
75,JORDAN ,39,NEUF AVEC ÉTIQUETTE,BORDEAUX,"CHAMPS-SUR-MARNE, FRANCE","CARTE BANCAIRE, PAYPAL",1,7 UTILISATEURS,IL Y A UN JOUR,Femmes,"195,00 €"
