,Marque,Taille,État,Couleur,Emplacement,Modepaiement,Nombre de vus,interet,ajout,genre,prix
0,SHOEBY ,39,TRÈS BON ÉTAT,NOIR,NEDERLAND,"CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 2 MINUTES,Femmes,"8,50 €"
1,AMERICAN EAGLE ,43,TRÈS BON ÉTAT,MARINE,"BEAUNE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 2 MINUTES,Femmes,"5,00 €"
2,LULU CASTAGNETTE ,20,BON ÉTAT,GRIS,"SAINT-LAURENT-MÉDOC, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 2 MINUTES,Enfants,"3,00 €"
3,AIR FORCE ,39,TRÈS BON ÉTAT,"ROSE, BLEU",ITALIA,CARTE BANCAIRE,1,1 UTILISATEUR,IL Y A 2 MINUTES,Femmes,"70,00 €"
4,ANNA FIELD ,39,NEUF SANS ÉTIQUETTE,NOIR,ITALIA,"CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 2 MINUTES,Femmes,"10,00 €"
5,TEX KIDS ,36,BON ÉTAT,TURQUOISE,"SABLONS, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 2 MINUTES,Enfants,"5,00 €"
6,VERTBAUDET ,30,NEUF SANS ÉTIQUETTE,NOIR,FRANCE,"CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 2 MINUTES,Enfants,"10,00 €"
7,KICKERS ,24,SATISFAISANT,MARINE,"VRAIVILLE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 2 MINUTES,Enfants,"3,00 €"
8,BCBG MAXAZRIA ,XS / 34 / 6,NEUF AVEC ÉTIQUETTE,ROUGE,FRANCE,"CARTE BANCAIRE, PAYPAL",714,1 UTILISATEUR,IL Y A UN AN,Femmes,"120,00 €"
9,GUESS ,37,NEUF SANS ÉTIQUETTE,GRIS,FRANCE,"CARTE BANCAIRE, PAYPAL",354,1 UTILISATEUR,IL Y A UN AN,Femmes,"50,00 €"
10,CAROLL ,S / 36 / 8,NEUF SANS ÉTIQUETTE,"NOIR, BLANC",FRANCE,"CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 2 JOURS,Femmes,"80,00 €"
11,ZARA ,XS / 34 / 6,NEUF SANS ÉTIQUETTE,CRÈME,FRANCE,"CARTE BANCAIRE, PAYPAL",157,1 UTILISATEUR,IL Y A UN AN,Femmes,"35,00 €"
12,VILA ,XS / 34 / 6,NEUF AVEC ÉTIQUETTE,"GRIS, LILA",FRANCE,"CARTE BANCAIRE, PAYPAL",68,1 UTILISATEUR,IL Y A UN AN,Femmes,"20,00 €"
13,NA,NA,NA,NA,NA,NA,NA,NA,IL Y A 3 MINUTES,Hommes,"2,00 €"
14,VERTBAUDET ,22,NEUF SANS ÉTIQUETTE,"MARRON, BEIGE",FRANCE,"CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Enfants,"15,00 €"
15,NA,NA,NA,NA,NA,NA,NA,NA,IL Y A 3 MINUTES,Femmes,"35,00 €"
16,UGG ,38,BON ÉTAT,NOIR,ITALIA,"CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Femmes,"40,00 €"
17,NIKE ,42,TRÈS BON ÉTAT,"VIOLET, BLEU","MONTPELLIER, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Hommes,"40,00 €"
18,CUIR ,39,TRÈS BON ÉTAT,MARRON,"LORIENT, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Femmes,"70,00 €"
19,OMODA ,40,TRÈS BON ÉTAT,MARINE,"ZWIJNDRECHT, NEDERLAND","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Femmes,"30,00 €"
20,MUSTANG ,36,TRÈS BON ÉTAT,BORDEAUX,ESPAÑA,"CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Femmes,"12,00 €"
21,TAMARIS ,39,NEUF SANS ÉTIQUETTE,NOIR,"CONTEVILLE-LÈS-BOULOGNE, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Femmes,"50,00 €"
22,ÉLODIE BRUNO ,36,TRÈS BON ÉTAT,MARINE,"PARIS, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Femmes,"60,00 €"
23,CONVERSE ,40.5,TRÈS BON ÉTAT,"ROSE, BLEU","PIEVE DI CADORE, ITALIA","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Femmes,"20,00 €"
24,VANESSA WU ,39,TRÈS BON ÉTAT,"GRIS, ARGENTÉ","CREMA, ITALIA","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Femmes,"15,00 €"
25,BEBERLIS ,18,NEUF AVEC ÉTIQUETTE,BEIGE,"MECHELEN, BELGIQUE / BELGIË","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 3 MINUTES,Enfants,"20,00 €"
26,THE KOOPLES ,38,BON ÉTAT,NOIR,"VILLERS-SOUS-MONTROND, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Femmes,"30,00 €"
27,CHRISTIAN LOUBOUTIN ,39.5,TRÈS BON ÉTAT,NOIR,"NICE, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Femmes,"300,00 €"
28,NA,NA,NA,NA,NA,NA,NA,NA,IL Y A 4 MINUTES,Femmes,"25,00 €"
29,NA,NA,NA,NA,NA,NA,NA,NA,IL Y A 4 MINUTES,Femmes,"10,00 €"
30,SAXO BLUES ,23,NEUF SANS ÉTIQUETTE,MARINE,"GRASSE, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Enfants,"5,00 €"
31,JHAY ,37.5,TRÈS BON ÉTAT,BLEU,FRANCE,"CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Femmes,"35,00 €"
32,LA REDOUTE ,34,NEUF SANS ÉTIQUETTE,NOIR,"OUTREAU, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Enfants,"5,00 €"
33,NA,NA,NA,NA,NA,NA,NA,NA,IL Y A 4 MINUTES,Enfants,"5,00 €"
